,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,PDB etc. Deltas,PDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-45.0765704786007,1,1,1,x,1,x,-45.0765704786007,2.143210541981144,-15.542856163505883,2.2094954041042785,0.15669295779556777,0.0003628767409706083,0.06848213076708282,1.658987019780754e-05,0.010730665562217858,2.4083685502350528e-05
Cgamma,C,1,-35.15544580825116,1,1,1,1,1,1,-35.15544580825116,3.280477742714966,-5.314892585825939,3.381935817231919,0.15832085466091145,0.000529322478812674,0.06848213076708282,1.658987019780754e-05,0.01084215122436352,3.686338449043665e-05
Calphabeta,C,2,-29.87249757002632,1,1,1,1,x,1,-29.87249757002632,1.5526964568630912,0.1314458040965432,1.6007179967660707,0.318375518201957,0.0005067161982207792,0.06848213076708282,1.658987019780754e-05,0.021803033540612138,3.489592125012387e-05
Ccarboxyl,C,1,-25.049489524702857,1,1,x,1,x,x,-25.049489524702857,1.91803578213016,5.103619046698135,1.9773564764228468,0.15997919273406308,0.0003278097536659173,0.06848213076708282,1.658987019780754e-05,0.01095571387631302,2.1553351690953024e-05
Ocarboxyl,O,2,-12.931251926041908,1,1,x,1,x,x,-12.931251926041908,2.5632363997547123,-12.931251926041895,2.563236399754715,0.010951391277217974,2.7012497505535383e-05,0.06848213076708282,1.658987019780754e-05,0.0007499748347865933,1.947547016533632e-06
Ssulfur,S,1,2.4538584377614705,1,1,1,x,1,x,2.4538584377614705,0.9870448642336461,2.4538584377614687,0.9870448642336502,0.11530494110330315,9.370937962433778e-05,0.06848213076708282,1.658987019780754e-05,0.00789632904291424,7.774952395568445e-06
Namine,N,1,10.020151044627227,1,x,1,1,x,1,10.020151044627227,0.9714127463617576,10.020151044627132,0.9714127463617577,0.054216096290530286,4.586930168082595e-05,0.06848213076708282,1.658987019780754e-05,0.0037128340752400524,3.5709132556258094e-06
Hmethyl,H,3,-250.26730244613324,1,1,1,x,1,x,-250.26730244613324,12.893876923818476,-250.2673024461332,12.893876923818478,0.005115717914776547,8.811253137802025e-05,0.06848213076708282,1.658987019780754e-05,0.00035033509491297035,6.025050808961896e-06
Hgamma,H,2,-99.84156705018808,1,1,1,1,1,1,-99.84156705018808,24.613649500974596,-99.84156705018806,24.613649500974603,0.004094753359562933,0.00011200239544485754,0.06848213076708282,1.658987019780754e-05,0.0002804173550325249,7.667644092543611e-06
Halphabeta,H,3,0.7373343544952871,1,1,1,1,x,1,0.7373343544952871,25.537951030106118,0.7373343544952821,25.537951030106118,0.006828403202752259,0.00017370753558567325,0.06848213076708282,1.658987019780754e-05,0.00046762454159716846,1.1933373757347994e-05
Hamine,H,2,98.04651876769033,1,x,1,1,x,x,98.04651876769033,46.22737685970579,98.04651876769032,46.22737685970577,0.0049949513630881594,0.00021078494767167927,0.06848213076708282,1.658987019780754e-05,0.0003420634515265109,1.440075243933557e-05
Hhydroxyl,H,1,248.6886508589491,1,1,x,1,x,1,248.6886508589491,60.9827550710593,248.68865085894907,60.98275507105928,0.0028400976252603073,0.00013875618035701716,0.06848213076708282,1.658987019780754e-05,0.00019449574425778993,9.498673929868203e-06
Hprotonated,H,1,4.740930443354626,1,x,x,x,x,x,4.740930443354626,109.27376888878668,4.740930443354629,109.2737688887867,0.002285212946953786,0.00024823866993763696,0.06848213076708282,1.658987019780754e-05,0.0001564984473258568,1.7020482242117424e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
17O Ocarboxyl   |   17O Ocarboxyl   |   15N Namine,5.220822545702624e-10,17O17O15N,1,000001101000000000000,1.7470665313250035e-07,3.063520683980426e-10,0.0029885205678028444,1.2676431049981038e-05,5.221144001759479e-10,2.3907801792194634e-12,,,0.0615719178428769,4.579317067934762,-15.872015266982043,4.506356612501035
17O Ocarboxyl   |   17O Ocarboxyl   |   33S Ssulfur,1.110346755607918e-09,17O17O33S,1,000001110000000000000,3.715779665291238e-07,6.575957925171381e-10,0.0029885205678028444,1.2676431049981038e-05,1.1104684043923153e-09,5.1056211157489934e-12,,,0.10955927396862218,4.598222212982154,-23.197474681743444,4.4910630320103335
17O Ocarboxyl   |   18O Ocarboxyl,1.4664521209372043e-06,17O18O,1,000001200000000000000,0.0004907373883635509,8.560237657769399e-07,0.0029885205678028444,1.2676431049981038e-05,1.4665782351271962e-06,6.6062051276514466e-09,,,0.08599952783288667,4.5048897494378775,-37.3946959232698,4.3360578681604744
17O Ocarboxyl   |   33S Ssulfur   |   15N Namine,2.1987581867204326e-08,17O33S15N,1,000000111000000000000,7.35842432297612e-06,1.3720717297530469e-08,0.0029885205678028444,1.2676431049981038e-05,2.199080368575594e-08,1.0215678675611754e-10,,,0.14652900765060198,4.646112854660469,-0.44783499580589287,4.643351777001628
17O Ocarboxyl   |   34S Ssulfur,3.327865193847345e-05,17O34S,1,000000120000000000000,0.011137440170753375,2.023209386965779e-05,0.0029885205678028444,1.2676431049981038e-05,3.3284442224172e-05,1.4765993667706053e-07,,,0.17399399799166948,4.4370768668772556,-8.055530389887426,4.400568186881592
18O Ocarboxyl   |   15N Namine,1.4519669598975259e-05,18O15N,1,000000201000000000000,0.004859124538917316,8.167751838564155e-06,0.0029885205678028444,1.2676431049981038e-05,1.4521586529693612e-05,6.467661865500628e-08,,,0.1320230260926871,4.45441393925182,-14.966790256270967,4.387166453117311
18O Ocarboxyl   |   33S Ssulfur,3.087993872726313e-05,18O33S,1,000000210000000000000,0.010334086048169811,1.9012778024656447e-05,0.0029885205678028444,1.2676431049981038e-05,3.088362465400597e-05,1.4190803705832045e-07,,,0.11936314949953243,4.595476639758792,-22.358275301343504,4.492193505541188
34S Ssulfur   |   15N Namine,0.00016474967847471335,34S15N,1,000000021000000000000,0.05513228443588549,0.00023353721775925583,0.0029885205678028444,1.2676431049981038e-05,0.00016476100640766008,1.6411888267613087e-08,,,0.06875845253133062,0.09961711864665238,14.902446785866855,0.10109470634067422
,Stochastic U,Composition,Number,Condensed,M4 M+N Relative Abundance,M4 M+N Relative Abundance Error,UM4,UM4 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma   |   13C Calphabeta   |   13C Calphabeta,1.3826618322506793e-08,13C13C13C13C,1,111100000000000000000,3.843612535889507e-05,6.343253927664201e-08,0.0003596969617049494,4.215202878353889e-07,1.3825355844100941e-08,2.7146830516805612e-11,,,-0.09130782208685707,1.9633745492646106,-20.60712761731181,1.9230906325846722
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta   |   13C Ccarboxyl,1.4116596341584484e-08,13C13C13C13C,1,011110000000000000000,3.924143588170213e-05,6.47956094375546e-08,0.0003596969617049494,4.215202878353889e-07,1.4115025091820713e-08,2.8497639090088505e-11,,,-0.11130514224326192,2.0187330147098224,-0.08686038048465632,2.018782367650661
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta   |   15N Namine,4.784040594265921e-09,13C13C13C15N,1,011100001000000000000,1.3298251818673875e-05,2.435971688616113e-08,0.0003596969617049494,4.215202878353889e-07,4.783340921545487e-09,1.0468533848811908e-11,,,-0.14625141794683041,2.188220112797398,4.7691639617066635,2.1989776969058417
